,Date,P_t,p_t,D_t,d_t,Rf_t,rf_t,r_t+1,rx_t+1,Δd_t+1,dp_t,rx_t+1_fitted,Δd_t+1_fitted,dp_t_fitted,D_t_PVM,P_t_PVM,Mispricing Actual-PVM,Mispricing Ratio PVM,Nature
108,2012-02-01,17.858486480823082,2.8824788283424736,0.2705292027310918,-1.3073752281822328,0.05,-2.995732273553991,0.10155316236877364,2.7608131993015514,-0.010563280971233713,-4.189854056524706,3.5213834307892435,0.001032955605138497,-4.162209200334528,0.047998473677152605,3.082136832939859,14.776349647883222,4.794190021015057,In-Sample Training
109,2012-03-01,19.4754344681904,2.9691539005292995,0.2676865669642851,-1.3179385091534666,0.07,-2.659260036932778,0.06892279782779175,3.0646550713817824,0.011551016164595085,-4.287092409682766,2.8125319687260144,0.023412071292388426,-4.227961188791957,0.04913547521084395,3.3695769188391362,16.105857549351263,4.779786286908668,In-Sample Training
110,2012-04-01,20.578934602447227,3.0242679604772937,0.2707965459558817,-1.3063874929888715,0.05,-2.995732273553991,0.007828832861341953,2.66708886979412,0.055901947119564754,-4.330655453466165,2.899953513995076,0.030273949460339677,-4.294114998716208,0.05064574568340805,3.7106792736815026,16.868255328765724,4.54586723471525,In-Sample Training
111,2012-05-01,20.45602062612991,3.018277246305248,0.286365719406512,-1.2504855458693067,0.07,-2.659260036932778,-0.011507684202716636,3.495050213117265,-0.009230821439664805,-4.268762792174555,2.747321676013253,0.023018772063153503,-4.3027058340823245,0.051825069782601006,3.829845871389388,16.62617475474052,4.341212496028957,In-Sample Training
112,2012-06-01,19.94531767792655,2.992994412928021,0.28373449146533547,-1.2597163673089715,0.03,-3.506557897319982,0.08532043718547508,3.304196262053676,0.005121246723248429,-4.252710780236993,3.187174374993672,0.02007808652138543,-4.285274555984689,0.05287613439138657,3.8399961667213014,16.105321511205247,4.19409833030027,In-Sample Training
113,2012-07-01,21.41555341141408,3.064117452966167,0.2851912929359237,-1.254595120585723,0.04,-3.2188758248682006,-0.006698167960971594,2.6525618689718065,0.06145247824819289,-4.31871257355189,3.3249913617661004,0.010152071489124337,-4.270628427779764,0.05341567075977285,3.822777725464791,17.592775685949288,4.602092234857907,In-Sample Training
114,2012-08-01,20.975551952302705,3.0433575667771358,0.3032667061449573,-1.1931426423375302,0.07,-2.659260036932778,0.038341273137424386,2.4462868817892964,0.02331615516043306,-4.236500209114666,2.8064644399416623,0.02310411679666935,-4.290026621082243,0.05466415973687282,3.988756873110823,16.986795079191882,4.258668958668297,In-Sample Training
115,2012-09-01,21.477547931093564,3.0670081072162616,0.31042079858193206,-1.1698264871770971,0.09,-2.4079456086518722,0.03861294696054486,3.0343452205145356,0.12833756783607297,-4.2368345943933585,2.5026124776401035,0.00949494165188769,-4.234358500172737,0.055185664655440336,3.8087705336261894,17.668777397467373,4.638971353479146,In-Sample Training
116,2012-10-01,21.962185913070783,3.089322152355555,0.35292880803571364,-1.0414889193410242,0.05,-2.995732273553991,-0.011896446196655478,2.801514270563381,0.45613024911566835,-4.130811071696579,2.7886480821738155,0.005833807515611467,-4.120307307049151,0.05550854810487606,3.4181144098049194,18.544071503265865,5.425234290014365,In-Sample Training
117,2012-11-01,21.165751415085705,3.052384376063479,0.5569060803571422,-0.5853586702253558,0.06,-2.8134107167600364,0.05999138792242014,2.267266301112141,0.19965352541782017,-3.637743046288835,2.787269871719096,-0.037266302162837994,-3.700504368681467,0.053478019907763776,2.164132993469293,19.001618421616413,8.780245243225634,In-Sample Training
118,2012-12-01,21.77483638131036,3.080755008648814,0.6799709891018901,-0.38570514480753565,0.11,-2.2072749131897207,0.009358160759075154,3.921381166187221,-0.0012878416179006313,-3.4664601534563495,2.4158704831543893,-0.04937670429720509,-3.4640787853684034,0.050901582952704014,1.6261536928821632,20.1486826884282,12.390392603491904,In-Sample Training
119,2013-01-01,21.31481612848603,3.0594024237894444,0.679095857799369,-0.3869929864254363,0.02,-3.912023005428146,0.08794779515618925,3.999970800584335,0.03172920550381697,-3.4463954102148806,3.295892041534885,-0.03270445356839646,-3.4644740913674283,0.04926380184037424,1.5744537412368047,19.740362387249224,12.537911956525491,In-Sample Training
120,2013-02-01,22.53325131650576,3.1149920545741443,0.7009885114233185,-0.3552637809216193,0.02,-3.912023005428146,0.029236569507620123,2.688496606440398,0.001908514703035158,-3.4702558354957636,3.868686931497267,-0.05449841677063749,-3.436215155750589,0.0466508501903655,1.4494019582516724,21.083849358254085,14.546585395597425,In-Sample Training
121,2013-03-01,22.500465529149068,3.1135359991807388,0.702327635766806,-0.35335526621858415,0.07,-2.659260036932778,0.03735074851595785,2.850761465275994,0.0014411940874383689,-3.466891265399323,3.023495538209338,-0.040263332778334104,-3.51214793672572,0.04480984273620922,1.5020344316785659,20.9984310974705,13.979993170998192,In-Sample Training
122,2013-04-01,22.64878994112975,3.1201064262692357,0.7033405559348733,-0.3519140721311458,0.06,-2.8134107167600364,0.06949080366910934,3.5760487009890913,0.07791848658965284,-3.4720204984003815,2.731786680838172,-0.04621801508347234,-3.4832561835143765,0.042785951132644606,1.393349706215069,21.25544023491468,15.254921388438444,In-Sample Training
123,2013-05-01,23.490069013581994,3.1565777366648877,0.7603354317226884,-0.27399558554149295,0.03,-3.506557897319982,0.09040095034179432,3.596958847661776,0.009819102015957093,-3.4305733222063806,3.2418250133810966,-0.05152882370479411,-3.4051131674799016,0.04063708122477631,1.2238955787012393,22.266173434880756,18.192870227138936,In-Sample Training
124,2013-06-01,24.89865525828345,3.2148137963208745,0.7678380169380247,-0.26417648352553585,0.03,-3.506557897319982,0.03249500297298778,4.637665188961079,0.003127876061455981,-3.4789902798464105,3.485377509561038,-0.042688199210357713,-3.4442015897957003,0.03893886223967023,1.2194977480293643,23.679157510254086,19.417139185798575,In-Sample Training
125,2013-07-01,24.94921858366892,3.2168425024152416,0.7702434791228986,-0.2610486074640799,0.01,-4.605170185988091,0.10165263574655352,4.013675641174699,0.014753208558733577,-3.4778911098793213,4.157957884325341,-0.034232762220956114,-3.4861174663605694,0.03762843516632973,1.2289033746540428,23.720315209014878,19.302018123021714,In-Sample Training
126,2013-08-01,26.779713794722085,3.2876446529289227,0.7816912800682767,-0.2462953989053463,0.02,-3.912023005428146,0.039323854431045635,3.9513468598591914,-0.00014199895622352132,-3.533940051834269,4.099688329233121,-0.048305036943817714,-3.4970905639695795,0.035853994450760734,1.1838718159520147,25.59584197877007,21.620450486176228,In-Sample Training
127,2013-09-01,27.06390063848127,3.298200760117887,0.7815802886029406,-0.24643739786156982,0.02,-3.912023005428146,0.09780599380890548,2.400391086802951,-0.052300049817191885,-3.5446381579794566,3.843620486123964,-0.030221253191336395,-3.5611272762210393,0.03478665126548753,1.2245895493636145,25.839311089117658,21.10038510662257,In-Sample Training
128,2013-10-01,29.048536546778774,3.368968104981752,0.7417541331407557,-0.2987374476787617,0.1,-2.3025850929940455,0.05869239107052654,3.565250288390508,-0.26868715170329666,-3.6677055526605136,2.8445987082386184,-0.03678982759931426,-3.641976459206421,0.03353011201689662,1.2797504288922696,27.768786117886503,21.698594890819997,In-Sample Training
129,2013-11-01,30.214744752852106,3.4083300420814013,0.5669837703518901,-0.5674245993820584,0.03,-3.506557897319982,0.06056452803351013,3.056296801587501,-0.22537468492956614,-3.9757546414634595,3.1169701803345253,0.010525759204818463,-3.9411828858000195,0.03388490586372093,1.7443766431723855,28.47036810967972,16.32122754057432,In-Sample Training
130,2013-12-01,31.62749985962355,3.4540269908682575,0.4525761311712178,-0.7927992843116245,0.05,-2.995732273553991,0.03398024701143601,4.639150432999527,0.008316498176822895,-4.246826275179882,3.1612110827712145,0.015512381535904174,-4.231245562828542,0.03441463954465493,2.3678262160963914,29.259673643527158,12.357187974616137,In-Sample Training
131,2014-01-01,32.255264428099856,3.4736812680005116,0.4563556742384447,-0.7844827861348016,0.01,-4.605170185988091,0.013992273679960381,3.5205501709999423,0.016336181897625424,-4.258164054135313,4.012764493815824,0.018704406109434135,-4.2390135975592305,0.03506440271243696,2.431345400016219,29.823919028083637,12.266426246095962,In-Sample Training
