Date,NDX_actual,NDX_fair_PVM,NDX_mispricing,NDX_mispricing_pct,P_t,P_t_PVM,sample
2008-09-01,1594.6300048828125,2097.224522689561,-502.5945178067486,-0.23964745422783928,11.082846227368073,11.181699655468927,train
2008-10-01,1334.780029296875,1903.2576626529556,-568.4776333560806,-0.2986866384468817,9.744967619191948,8.360831260750299,train
2008-11-01,1185.75,1995.6583762057476,-809.9083762057476,-0.40583517993975937,8.465233306952229,9.704618815290956,train
2008-12-01,1211.6500244140625,1895.1250204495593,-683.4749960354968,-0.3606490277213288,7.105827353843839,8.2425578951208,train
2009-01-01,1180.25,1808.779306014222,-628.5293060142219,-0.3474881119683044,7.842871405450361,6.986828453379686,train
2009-02-01,1116.989990234375,1871.2948193648886,-754.3048291305136,-0.4030924584008212,7.455854762310333,7.8959942549873725,train
2009-03-01,1237.010009765625,1857.0258491597558,-620.0158393941308,-0.33387571835613805,7.262882229848568,7.688480007093454,train
2009-04-01,1394.3299560546875,1804.5562349045676,-410.22627884988015,-0.22732806598935085,8.157629439587696,6.925412148452005,train
2009-05-01,1435.5699462890625,1896.331416613063,-460.7614703240006,-0.24297518159929143,8.821980583653666,8.260102566455352,train
2009-06-01,1477.25,1932.2380058194522,-454.98800581945216,-0.23547203007555695,9.44001571304251,8.782293638865008,train
2009-07-01,1603.3599853515625,1975.5608155765813,-372.20083022501876,-0.18840261827950322,9.587878266098995,9.412339125971569,train
2009-08-01,1625.18994140625,2002.93188680608,-377.74194539983,-0.18859450383117404,10.185868797589,9.81039779303621,train
2009-09-01,1718.989990234375,2031.4273707247619,-312.4373804903869,-0.15380189564882996,10.4167765225949,10.224808842239424,train
2009-10-01,1667.1300048828125,2064.254266368183,-397.1242614853704,-0.19238146576974968,10.960437865880856,10.702211798598968,train
2009-11-01,1767.4300537109375,2086.6412554847984,-319.2112017738609,-0.1529784772225723,11.395324755084363,11.027786744958629,train
2009-12-01,1860.31005859375,2129.045003759453,-268.7349451657028,-0.12622323374619726,12.6112837560334,11.64446628136502,train
2010-01-01,1741.0400390625,2211.9249084729536,-470.8848694104536,-0.21288465426954228,12.973475787084269,12.849792303137422,train
2010-02-01,1818.6800537109373,2243.2222384114284,-424.54218470049113,-0.18925551709987376,12.004927468595696,13.304950719610547,train
2010-03-01,1958.3399658203125,2174.3873123241383,-216.0473465038258,-0.09936010262720818,12.497323203307552,12.303881426558192,train
2010-04-01,2000.6300048828125,2202.7361104618835,-202.10610557907103,-0.09175230052259509,13.206968499480611,12.716159218135228,train
2010-05-01,1852.3900146484373,2250.0416387102596,-397.6516240618223,-0.17673078454217372,13.314398957353804,13.404125551694117,train
2010-06-01,1739.1400146484375,2246.5540379444874,-507.4140232960499,-0.22586326201185647,11.837695231191624,13.353405223635459,train
2010-07-01,1864.0,2139.907842063495,-275.9078420634951,-0.12893445065252884,11.205517575993914,11.802445006406137,train
2010-08-01,1767.4300537109375,2109.001821469565,-341.57176775862763,-0.16195897238278267,12.350831909422144,11.352977418574449,train
2010-09-01,1998.0400390625,2176.485722119937,-178.44568305743678,-0.08198798698464582,12.437283289744007,12.334398690543484,train
2010-10-01,2124.449951171875,2252.100610680467,-127.65065950859207,-0.05668070906921996,13.4869223368675,13.434069269684258,train
2010-11-01,2117.330078125,2293.449561129437,-176.11948300443692,-0.07679239429957407,14.561236551211472,14.035408835908477,train
2010-12-01,2217.860107421875,2338.725350242675,-120.86524282080018,-0.05167996439097,14.706478691127682,14.69385658585595,train
2011-01-01,2281.909912109375,2340.2033745784843,-58.29346246910927,-0.02490957115195558,15.268384735006055,14.715351557392438,train
2011-02-01,2350.989990234375,2422.9955654073165,-72.00557517294146,-0.02971758438230443,15.99311391478639,15.919401952364504,train
2011-03-01,2338.989990234375,2411.244904316941,-72.25491408256585,-0.029965813075729097,15.8790746186586,15.748511582325856,train
2011-04-01,2404.080078125,2474.356156343522,-70.27607821852189,-0.0284017634398972,16.340671072017493,16.666341237140635,train
2011-05-01,2372.5400390625,2489.5448110125744,-117.00477195007443,-0.046998459892145905,16.68204255799661,16.887230495780692,train
2011-06-01,2325.070068359375,2491.6635032933327,-166.59343493395772,-0.06686032632968475,16.06216854891669,16.91804272881781,train
2011-07-01,2362.81005859375,2449.5168104226127,-86.7067518288627,-0.03539749205228082,16.354793828794683,16.305101560215657,train
2011-08-01,2241.010009765625,2527.98643017862,-286.97642041299514,-0.11351976299679667,16.673731729693458,17.44628861801273,train
2011-09-01,2139.179931640625,2471.5279333946237,-332.3480017539987,-0.13447066377984307,15.892237272277912,16.62521026905537,train
2011-10-01,2360.080078125,2344.1485422319893,15.931535893010732,0.0067962996397155084,15.010332275604627,14.772726300395128,train
2011-11-01,2295.199951171875,2424.3038936569455,-129.10394248507055,-0.0532540259589005,16.10229869102355,15.938429026415191,train
2011-12-01,2277.830078125,2374.455950832663,-96.6258727076629,-0.0406938998694748,16.37839724737055,15.213488248241934,train
2012-01-01,2467.949951171875,2395.2316626286774,72.71828854319756,0.030359605577104043,16.58192464324231,15.515630319171477,train
2012-02-01,2623.10009765625,2466.6782985941995,156.42179906205047,0.06341394382526411,17.858486480823082,16.5546818214027,train
2012-03-01,2755.27001953125,2480.011101901586,275.2589176296642,0.11099100218487146,19.4754344681904,16.74858135380585,train
2012-04-01,2723.679931640625,2609.8797716232875,113.80016001733748,0.043603602455049684,20.578934602447227,18.63726700770036,train
2012-05-01,2524.8701171875,2741.425925099955,-216.55580791245484,-0.07899385714919838,20.45602062612991,20.55034838004978,train
2012-06-01,2615.719970703125,2645.2112806014416,-29.49130989831656,-0.011148943040803605,19.94531767792655,19.15109466359675,train
2012-07-01,2642.530029296875,2633.2711549651594,9.25887433171556,0.003516111249788123,21.41555341141408,18.97744890251158,train
2012-08-01,2772.239990234375,2805.308316667859,-33.06832643348389,-0.011787769008136162,20.975551952302705,21.47939275040734,train
2012-09-01,2799.18994140625,2733.7220854933266,65.46785591292337,0.02394824852911448,21.477547931093564,20.438311109042676,train
2012-10-01,2647.919921875,2936.259436567144,-288.3395146921439,-0.09819960426563978,21.962185913070783,23.383820523827964,train
2012-11-01,2677.8798828125,3634.354823486342,-956.474940673842,-0.2631759932994986,21.165751415085705,33.53625178495991,train
2012-12-01,2660.929931640625,3164.450063473062,-503.5201318324371,-0.15911773664704676,21.77483638131036,26.702406633271902,train
2013-01-01,2731.530029296875,2925.548848194875,-194.01881889800006,-0.06631877605383818,21.31481612848603,23.22805597609815,train
2013-02-01,2738.580078125,2942.416351623114,-203.83627349811422,-0.06927512939685532,22.53325131650576,23.47336080450826,train
2013-03-01,2818.68994140625,2977.7298291068937,-159.0398877006437,-0.053409777524492275,22.500465529149068,23.986926227605803,train
2013-04-01,2887.43994140625,2968.959603713887,-81.51966230763719,-0.027457316093376205,22.64878994112975,23.859380462205355,train
2013-05-01,2981.760009765625,3114.5679619941143,-132.80795222848928,-0.042640890758877004,23.490069013581994,25.976969084313502,train
2013-06-01,2909.60009765625,3085.65452649826,-176.0544288420101,-0.05705578097941011,24.89865525828345,25.556479747332954,train
2013-07-01,3090.18994140625,3170.026804232093,-79.83686282584313,-0.025184917275544283,24.94921858366892,26.783509414178493,train
