Date,P_t,P_t_PVM,mispricing,mispricing_pct,sample
2005-06-01,7.733808753593284,8.472129144568056,-0.7383203909747724,-0.08714697077630718,train
2005-07-01,7.526986030086936,9.084464416338404,-1.5574783862514687,-0.17144416168886578,train
2005-08-01,8.020527352426326,8.971309082399571,-0.9507817299732455,-0.1059802667860974,train
2005-09-01,8.028032502914707,9.462958965911527,-1.4349264629968204,-0.1516361286322665,train
2005-10-01,8.067790359853445,9.434166840917802,-1.366376481064357,-0.14483276627440156,train
2005-11-01,8.287684111456786,1.8458625786030498,6.441821532853735,3.489870593578484,train
2005-12-01,9.059324874104384,8.302430906597317,0.7568939675070663,0.09116534374355578,train
2006-01-01,8.771851602793053,9.005376971453257,-0.2335253686602048,-0.02593177047451456,train
2006-02-01,9.076563450805216,9.147271822258139,-0.0707083714529233,-0.0077299956562860705,train
2006-03-01,8.921491874718427,9.123625054378687,-0.2021331796602599,-0.02215491961314764,train
2006-04-01,8.995511093247337,8.860794518897718,0.13471657434961948,0.015203667578827629,train
2006-05-01,8.810198164858049,9.23083101559212,-0.4206328507340711,-0.04556825382498775,train
2006-06-01,8.543002846869914,8.82607228991509,-0.283069443045175,-0.032071960635153385,train
2006-07-01,8.633154863546437,8.66017448202878,-0.02701961848234191,-0.0031199854620033163,train
2006-08-01,8.466159770593924,8.672541912464961,-0.2063821418710372,-0.02379719163702243,train
2006-09-01,8.908592904957025,8.48651423684305,0.42207866811397565,0.0497352218277769,train
2006-10-01,9.329062756088351,8.879853444135696,0.44920931195265545,0.05058746912645451,train
2006-11-01,9.82561648146351,9.361163049909866,0.46445343155364327,0.049614928089316335,train
2006-12-01,10.011690143464492,9.667705900226462,0.34398424323802956,0.03558075170966579,train
2007-01-01,10.002931551835616,9.722006105672282,0.2809254461633337,0.02889583107743876,train
2007-02-01,10.245766918354924,9.993168207449358,0.2525987109055663,0.025277139908169266,train
2007-03-01,9.843331784189935,10.073214309209737,-0.22988252501980178,-0.02282116889041319,train
2007-04-01,9.870802302289158,9.757141904771418,0.11366039751774082,0.01164894378159631,train
2007-05-01,10.921145694784254,9.654530855400909,1.2666148393833456,0.13119382581648487,train
2007-06-01,11.368479681929117,10.77613263877055,0.5923470431585667,0.05496842540963254,train
2007-07-01,11.370321817790009,11.158618148427264,0.21170366936274476,0.018972212020050394,train
2007-08-01,11.481249644225384,11.317895018121213,0.16335462610417117,0.01443330458911496,train
2007-09-01,11.571344187123184,11.33399184170301,0.2373523454201738,0.020941637221481457,train
2007-10-01,12.37279895884024,16.000222245926206,-3.627423287085966,-0.22671080634580176,train
2007-11-01,13.549554222490356,12.898770827204997,0.6507833952853588,0.05045313262817119,train
2007-12-01,13.124723959072425,14.060361566112283,-0.9356376070398582,-0.06654434899418904,train
2008-01-01,13.515846448410455,13.588116070538806,-0.07226962212835097,-0.0053185902853040146,train
2008-02-01,11.556711683331542,14.011725252233836,-2.4550135689022934,-0.1752113693858578,train
2008-03-01,10.754652543697787,11.915510783179826,-1.1608582394820388,-0.0974241273081411,train
