Date,NVDA,AAPL,MSFT,GOOGL,AVGO,GOOG,META,ASML,COST,CSCO,AZN,MU,TMUS,PEP,LRCX,LIN,QCOM,INTC,INTU,AMAT,BKNG,AMGN,KLAC,GILD,TXN,ADBE,HON,MELI,CEG,ADI,ADP,CMCSA,SBUX,MRVL,MDLZ,CTAS,MAR,TRI,REGN,CSX,MNST,PYPL,AEP,ADSK,NXPI,ROST,PCAR,EA,ROP,XEL,BKR,TTWO,FAST,EXC,PAYX,FANG,CCEP,KDP,CTSH,GEHC,MCHP,VRSK,ODFL,KHC,CDW
2002-11-20 00:00:00-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005556,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-02 00:00:00-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,
2002-12-04 00:00:00-05:00,,,,,,,,,,,,,,0.15,,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-09 00:00:00-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,,,,,,,,,,,,,,,,,,,
2002-12-11 00:00:00-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-16 00:00:00-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138272,,,,,,,,,,,,,,,,,,
2002-12-19 00:00:00-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-23 00:00:00-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032628,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31 00:00:00-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,0.188,,,,,,,,,,,,,,,
2003-01-07 00:00:00-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,0.0065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-15 00:00:00-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044,,,,,,,,,,,,,,,,
2003-01-29 00:00:00-05:00,,,,,,,,,,,,,,,,,,,,,,,,,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-30 00:00:00-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,
2003-02-05 00:00:00-05:00,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.0675,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,
2003-02-06 00:00:00-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,0.115,,,,,,,,,,,,,,
2003-02-12 00:00:00-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164051,,,,,,,,,,,
2003-02-13 00:00:00-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039506,,,,,,,,,,,,,,,,,,
2003-02-18 00:00:00-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168929,,,,,,,,,,,0.444444,,,,,,,,,,,,,,,,,,,,,,,,,,,
